variant,pre_engagement,converted
0,0.30471707975443135,0
0,-1.0399841062404955,0
0,0.7504511958064572,0
0,0.9405647163912139,0
0,-1.9510351886538364,0
0,-1.302179506862318,0
0,0.12784040316728537,0
0,-0.3162425923435822,0
0,-0.016801157504288795,0
0,-0.85304392757358,1
0,0.8793979748628286,1
0,0.7777919354289483,0
0,0.06603069756121605,0
0,1.1272412069680329,0
0,0.4675093422520456,0
0,-0.8592924628832382,0
0,0.36875078408249884,0
0,-0.9588826008289989,0
0,0.8784503013072725,0
0,-0.049925910986252896,1
0,-0.18486236354526056,0
0,-0.6809295444039414,0
0,1.2225413386740303,0
0,-0.15452948206880215,0
0,-0.4283278221631072,0
0,-0.3521335504882296,0
0,0.5323091855533487,0
0,0.36544406436407834,0
0,0.4127326115959884,0
0,0.43082100300788273,0
0,2.1416476008704612,0
0,-0.4064150163846156,0
0,-0.5122427290715373,0
0,-0.8137727282478777,0
0,0.6159794225754956,0
0,1.1289722927208916,1
0,-0.11394745765487507,0
0,-0.840156476962528,0
0,-0.8244812156912396,0
0,0.6505927878247011,0
0,0.7432541712034423,0
0,0.543154268305195,0
0,-0.6655097072886943,0
0,0.23216132306671977,0
0,0.11668580914072822,0
0,0.21868859672901295,0
0,0.8714287779481898,0
0,0.22359554877468227,1
0,0.6789135630718949,1
0,0.06757906948889146,0
0,0.28911939868998415,0
0,0.6312882258385404,0
0,-1.4571558198556664,0
0,-0.31967121635730134,0
0,-0.4703726542927955,0
0,-0.6388778482433419,0
0,-0.27514225122668373,0
0,1.4949413112343959,0
0,-0.8658311156932432,0
0,0.9682783545914808,0
0,-1.6828697716158048,0
0,-0.33488502998577485,0
0,0.1627530651050056,0
0,0.5862223313592781,0
0,0.711226579792855,1
0,0.7933472351999252,0
0,-0.3487250722484376,0
0,-0.46235179266456716,0
0,0.8579758812571538,0
0,-0.1913043248816149,0
0,-1.2756863233379219,0
0,-1.1332872140034806,0
0,-0.9194522860016113,0
0,0.49716074405376404,0
0,0.14242573607056525,0
0,0.6904853540677682,0
0,-0.42725264633653426,0
0,0.15853969107671423,0
0,0.6255903939673367,0
0,-0.3093465397202384,1
0,0.45677523755741145,0
0,-0.6619259410666513,0
0,-0.3630538465650718,0
0,-0.3817378939983291,1
0,-1.1958396455890397,0
0,0.4869724807855818,0
0,-0.46940234020272387,1
0,0.01249411872768743,0
0,0.48074665890590895,0
0,0.4465311760299441,0
0,0.6653851089727862,0
0,-0.09848548450942361,0
0,-0.42329831204415375,0
0,-0.07971821090639905,0
0,-1.6873344339580298,0
0,-1.4471124724230873,0
0,-1.3226996123544024,1
0,-0.9972468276014818,1
0,0.3997742267234366,0
0,-0.9054790553600608,0
0,-0.3781625540393897,0
0,1.2992282977860654,0
0,-0.35626397106142593,0
0,0.7375155684670865,0
0,-0.933617680009877,0
0,-0.20543755786763002,0
0,-0.9500220549105812,0
0,-0.3390330759005625,0
0,0.8403081374573955,0
0,-1.7273204231923487,0
0,0.43442364354585733,1
0,0.2377356023322779,0
0,-0.5941499556967944,0
0,-1.4460578543884546,0
0,0.07212950771386951,0
0,-0.5294927090638024,0
0,0.23267621135470395,1
0,0.02185214552344288,0
0,1.6017788913209154,0
0,-0.23935562747302427,0
0,-1.023497492621865,0
0,0.17927563495631615,0
0,0.21999668397176517,0
0,1.3591875752404365,0
0,0.8351112459145785,0
0,0.35687105914950934,0
0,1.4633028912195618,0
0,-1.188763054322851,0
0,-0.6397515327497477,0
0,-0.9265759414055249,0
0,-0.38980980315576796,0
0,-1.3766861475563088,0
0,0.6351509468144043,0
0,-0.22222269709877338,1
0,-1.4708062945026579,0
0,-1.0155790812075416,0
0,0.3135138474501953,0
0,0.8381265678943811,0
0,1.9967308916917865,0
0,2.9138624660073296,0
0,0.4144094332759964,0
0,-0.9895381200318641,0
0,-2.132046280731309,0
0,0.2677114623438358,0
0,-0.812941095310326,0
0,-0.41535726017968533,0
0,-0.6120967990598081,0
0,-0.14079088641638526,0
0,1.0659802307876436,0
0,0.15704856744534462,0
0,-0.1586348370386883,0
0,-1.0356537528258116,0
0,-1.674682944704357,0
0,-0.4863079090733309,1
0,-0.05378255081832049,0
0,1.767929913579883,0
0,0.13027452147288585,0
0,0.9827395110230576,1
0,-0.49929559853915206,0
0,-1.1849437664170246,0
0,-0.9651167622323719,0
0,-0.7252260645357532,0
0,2.1284697324351645,0
0,-0.8213866792243861,0
0,0.838489203736345,0
0,-0.9029271780870264,0
0,0.9315730128742441,1
0,0.38495096610586316,0
0,-0.1566378976580904,0
0,-0.040762526135434025,0
0,-0.6547876954293904,0
0,0.44607220148208054,0
0,-0.45498348034078,0
0,-1.2256057637672482,0
0,-1.2779375743196193,0
0,0.17258791772211948,0
0,1.579091256410435,0
0,0.15999161357343825,0
0,-0.11863832610988256,0
0,0.2858261396025429,1
0,1.3060017417068248,0
0,0.21938250136385634,1
0,-0.41092723083373717,0
0,1.1062887100598888,0
0,0.4287564384616135,0
0,1.535755991995992,0
0,0.18323443722190613,0
0,-1.2244690317205003,0
0,-1.368159199245665,0
0,1.6509279322312496,0
0,1.723665720783297,0
0,-0.17951921328260065,0
0,-0.38318732113598775,1
0,1.4614442922422022,0
0,-1.107045682043488,0
0,-0.8947270189558264,0
0,0.6433267946890444,0
0,-0.3946051228595896,0
0,-0.005121866720071296,0
0,-0.16344289852451258,0
0,0.33757454879893356,0
0,1.4074818613137168,0
0,0.09058490690174555,0
0,0.6439387932768579,0
0,-2.0501721010310225,0
0,-0.04871840193011795,0
0,-0.8432302702928711,0
0,-1.218813060423628,0
0,-0.8781523669287508,0
